姓名,学校,学院,职位,性别,个人主页,个人照片
王宏伦,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/wanghonglun/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/CB/B1/4BFE3A22E9CC8AC4E1999F628A4_7C8B8794_8D42.jpg
沈东凯,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/shendongkai/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
王兴坚,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/wangxingjian/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/18/D7/417468CD99D06371A7D0D6E2266_F49A894A_4599.jpg
侯钢,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,N/A,http://shi.buaa.edu.cn/hougang/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
张霖,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/linzhang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/3B/0A/1BCA35016ECB90F1123260744A6_3EDEFAB8_52EC.jpg
杨丽曼,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/yangliman/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/2C/A3/B2F74F7D86D454384FB66CC6741_6BD07CD4_17989.jpg
赖李媛君,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/yunglynn/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/43/58/68EEFDFB18992751137AECBD8E1_08E8B9DE_4B1A.jpg
任磊,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/renlei/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/9A/FE/ABBCB33C286CE8B856502C652E9_CBEC9899_5725.jpg
高元楼,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/gaoyuanlou/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
陶飞,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/taofei/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/D9/C4/403E7402FC222EC5C969C7E37FA_96E12221_98E1.jpg
王少萍,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/wangshaoping/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/A6/14/A1A3932C5E9CB776AF756D2A7AC_71451F67_9CDB.jpg
宋晓,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/songxiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/96/28/37B6BEAC26544C7915106225CA9_95BAA902_3088.png
李明星,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/limingxing/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/E9/E3/663AD9AC56FE25F26100CB56FEA_B6EFBD5F_1FA1.jpg
王薇,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/wangwei/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/BF/B5/8C7C1EB31E0CC2E6A930FBC5C22_43721940_AF84.jpg
丁晓峰,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/dingxiaofeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/4F/42/441EE5478E2976DD0E3ABF29CFA_A85F4322_104B5.jpg
李运华,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/liyunhua/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/0A/54/88FBBBF25528DE1690141BBFD31_CC4573E3_352C.jpg
李文玲,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/liwenling/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/7E/C1/4617A5021352A2259201931CC6D_75BEF791_4F52.jpg
张臻,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,N/A,http://shi.buaa.edu.cn/zhangzhen/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
陆震,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/luzhen/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/BC/6A/41DE269802666622A73DDDFBCC7_DA6F5B38_5C14.jpg
李妮,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/lini/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/1A/D3/38972DACD0687D58D51A3C63B40_5C16E33C_D29A.jpg
赵龙,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/zhaolong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/EE/B1/1EA5EEBBE251674B2888CD5A4A0_643141D8_AEFC.jpg
王英勋,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/wangyx/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/FD/91/D84D2A114130341312BCA392D5B_6EAEC9F9_A9BD.jpg
袁海斌,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,N/A,http://shi.buaa.edu.cn/yuanhaibin/en/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
张宝昌,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/mpl/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/05/EC/D5ACCB15B64C95A7EC4CCF3B83E_F648D788_3FB6.jpg
b17023,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,N/A,http://shi.buaa.edu.cn/b17023/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
秦曾昌,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/zcqin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/33/3B/B03DB0E1D7BDDD5C0E60307ECB7_26475616_3010.jpg
胡庆雷,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/huqinglei/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/C0/3B/B9C9E99E4BFF09F31CA8E227F12_F7810E45_5A71.jpg
徐金全,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/xujinquan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/F0/1F/0B1269BC215EF2355C8543C4BAB_7B910AE5_32F7.jpg
富立,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,N/A,http://shi.buaa.edu.cn/fuli/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
张秦岭,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/zhangql/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/FB/DA/4CC7D1B10ABC2D822A9B385C907_F6FF4AF8_E32.jpg
铁林,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/tielin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/9D/2F/8F1D53C78977FF1BB58D058C008_76A0514C_1184.jpg
孟德元,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/mengdeyuan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/B5/8D/6823A99F6676C95052D1B9E1216_642241A5_5C0C.jpg
徐萍,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/xuping/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/5C/AD/B1C5646C326A3C25865D8C00495_5D921F8C_3124.jpg
王磊,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/wanglei/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/5E/1F/01FBA48199223F313C46D19904D_00EFA4A1_F166.jpg
郝飞,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/fhao/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
吴淮宁,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/wuhuaining/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/B5/66/3C19125DFCC5402BC5F6716435C_E7FBEDF8_9777.jpg
王亮,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/wangliang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/4/74/E7/8576578D08151A2CDBAC332804B_6849A34E_C78A.jpg
徐远志,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/yuanzhi_xu/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/B3/F5/5CBA2483AB889517ED303DAE486_63347E90_63FF.jpg
王晓梅,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/wangxiaomei/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
董卓宁,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/dongzhuoning/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
王卫红,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/Wangweihong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/75/F6/81069030A95A3A1D69F6095A738_E62E5C55_3D3A.jpg
张蓓,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/zhangzuo/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
徐东,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/xudong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/77/0B/2813B104B323D6AAA7D0D20EE87_4D087A3A_4A64.jpg
杨凌宇,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/yanglingyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
张晶,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/zhangjing/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/F2/70/5FB1F8424EBB9E570F66C3E815E_9943FB8C_3CEF.jpg
肖瑾,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/xiaojin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/B6/7D/DED843002FC876574B256768F54_28379813_4D6B.jpg
胡杰峰,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/hujiefeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
吴云洁,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/wuyunjie/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
宋华,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/songhua/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/D4/59/7A15AD284AEE5072DCC354BF82D_86F5861F_E83E.jpg
吴江,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/wujiang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/5D/FA/D64DBC24DC1D9DC209DB65119E3_BF12923A_6B94.jpg
蔡志浩,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/czh/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/BE/44/009069BF24FB0D9EA1222FBE748_B5D01795_A279.jpg
张霄,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/zhangxiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/8F/11/29B204993EB5D5131191D0AC6E7_7270A092_171C.jpg
王永,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/wangyong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/A7/9E/A97CAFB2527ECDE8C6910CF3FFE_241370BD_F4E7.jpg
赵永嘉,北京航空航天大学,自动化科学与电气工程学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/zhaoyongjia/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/C3/30/3F06BD73D559E1C9C4B867456A1_C2002AF9_A93E.jpg
韩亮,北京航空航天大学,中法工程师学院,研究生导师,男,http://shi.buaa.edu.cn/lianghan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/B0/B0/4871666BAC67845A771E953A658_3C6389FC_1281.png
08526,北京航空航天大学,中法工程师学院,研究生导师,N/A,http://shi.buaa.edu.cn/08526/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
于姗,北京航空航天大学,中法工程师学院,研究生导师,女,http://shi.buaa.edu.cn/yushan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/EC/AA/E438DFF2A69DBD19C775391D75A_6BC430CB_EE59.jpg
于雷,北京航空航天大学,中法工程师学院,研究生导师,男,http://shi.buaa.edu.cn/yulei/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
马纪明,北京航空航天大学,中法工程师学院,研究生导师,男,http://shi.buaa.edu.cn/majiming/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/31/18/9BE567B8286598B384176263D4C_DA4CCF84_6791.jpg
闫烁,北京航空航天大学,新媒体艺术与设计学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/yanshuo/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/83/D0/46A36E89117FD5A41B682EF343E_C915A8AB_B10C.jpg
曹翀,北京航空航天大学,新媒体艺术与设计学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/caochong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/D1/DF/915B336A9D957ED98BE18441C92_75951E08_9BD4.jpg
sure8443,北京航空航天大学,新媒体艺术与设计学院,研究生导师+讲师,N/A,http://shi.buaa.edu.cn/sure8443/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
09569,北京航空航天大学,新媒体艺术与设计学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/09569/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/93/C7/1EDCAD60CD7219BA8BE48BE6045_7205D284_B172.jpg
赵之昱,北京航空航天大学,新媒体艺术与设计学院,研究生导师+讲师,女,http://shi.buaa.edu.cn/zhaozhiyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
胡勇,北京航空航天大学,新媒体艺术与设计学院,研究生导师+讲师,男,http://shi.buaa.edu.cn/huyong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/9B/38/53A9194CD7B8A947628D70500BB_810B5959_13F5.jpg
王春玺,北京航空航天大学,马克思主义学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/wcx320/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/A8/8C/91724E6EF9029AF4C7F79D9DC83_6AFBFA19_DB26.jpg
王晨,北京航空航天大学,马克思主义学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/monwang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/9D/05/765AF88EB795E4C4A9D16D19393_8EF01C6E_EFE6.jpg
何思源,北京航空航天大学,马克思主义学院,博士生导师+研究生导师+教授,N/A,http://shi.buaa.edu.cn/hesiyuan/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
赵洁,北京航空航天大学,马克思主义学院,博士生导师+研究生导师+教授,N/A,http://shi.buaa.edu.cn/zhaojie/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
马铁林,北京航空航天大学,无人机研究所,研究生导师+副教授,男,http://shi.buaa.edu.cn/matielin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/7F/2D/08244204D43E69149B5E03FF684_6823F98B_4C1F.jpeg
王卓奇,北京航空航天大学,无人机研究所,研究生导师+副教授,男,http://shi.buaa.edu.cn/09710/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
07384,北京航空航天大学,无人机研究所,研究生导师+副教授,女,http://shi.buaa.edu.cn/07384/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
邢伟,北京航空航天大学,无人机研究所,研究生导师+副教授,男,http://shi.buaa.edu.cn/09207/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/98/59/2223608416508D31CB03B2FA585_55322E4E_6634.jpg
钱浩,北京航空航天大学,无人机研究所,研究生导师+副教授,男,http://shi.buaa.edu.cn/qianhao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/4/71/FD/C1F59CE9711283E8021E8894B33_824D3754_4663.jpg
王立志,北京航空航天大学,无人机研究所,研究生导师+副教授,男,http://shi.buaa.edu.cn/09687/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/E2/99/D6A3DB003D94EA4BC79E6729FFB_D7FE80CF_888E.jpg
张瑜,北京航空航天大学,化学学院,博士生导师+研究生导师+研究员,男,http://shi.buaa.edu.cn/zhangyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/4C/D3/E5F35430478601E9495D0801D5A_7364A5F9_9086.png
鹿现永,北京航空航天大学,化学学院,博士生导师+研究生导师+研究员,男,http://shi.buaa.edu.cn/luxianyong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/98/0A/5275D8E84BFA23AAE42DC05A3ED_B8DD4DDD_18FFF.jpg
高秋明,北京航空航天大学,化学学院,博士生导师+研究生导师+研究员,男,http://shi.buaa.edu.cn/gaoqiuming/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/40/63/72D12FAC8E77A064A9563B2DFBB_F43AE3B8_C150.jpg
商旸,北京航空航天大学,化学学院,博士生导师+研究生导师+研究员,N/A,http://shi.buaa.edu.cn/shangyang/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
王广胜,北京航空航天大学,化学学院,博士生导师+研究生导师+研究员,N/A,http://shi.buaa.edu.cn/wangguangsheng/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
王晓天,北京航空航天大学,化学学院,博士生导师+研究生导师+研究员,N/A,http://shi.buaa.edu.cn/wangxiaotian/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
霍利军,北京航空航天大学,化学学院,博士生导师+研究生导师+研究员,N/A,http://shi.buaa.edu.cn/huolijun/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
程群峰,北京航空航天大学,化学学院,博士生导师+研究生导师+研究员,男,http://shi.buaa.edu.cn/chengqunfeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/06/F3/C256EB30B53FB8AE9EC405A37B1_14406D81_913B.jpg
王文文,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,女,http://shi.buaa.edu.cn/wangwenwen/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/7D/9F/D73E90A78B542C0EBD9DF5F56A0_5B9339F3_8CB1.jpg
孙保华,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/sunbaohua/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/5E/5F/B2DD296D707EB841BD9EB10F86E_9B153522_9928.jpg
陈勇,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/ChenYong/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
张俊英,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,女,http://shi.buaa.edu.cn/zhangjunying/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/D5/54/1FD0EF42F0005E119D628F616FD_AC1B9BCE_1C87C.jpg
李伟,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/liwei/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/D3/F2/D6A6E5196DB06D04CA72D378F8E_9BFD9043_670B.jpeg
满兴坤,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/manxingkun/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/B1/CE/9ECE625869F254ABF31DEE1817C_F80C9418_A7BF.jpg
耿立升,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/09248/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/6A/C5/080C5BB579D4C021B404C6B5DB9_D23CDEA7_863F.jpeg
谢勇,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/xieyong_buaa/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/05/B3/8E07D12BC8F703FC69D868C813F_DD500863_F995.jpg
钱建强,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/07946/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/F3/8E/E6B425273590F7F47CC4FDAD8D3_FE50C4E5_A085.jpg
陈子瑜,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/chenziyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/BD/51/4391E92072490E9A21A884B7ADD_FA631F47_9C8A.jpg
庄金呈,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/zhuangjc/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/4/59/47/49B4958FDEA2E87489F4728D140_ACFBE77C_9037.jpg
梁林云,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/phasefield/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
崔怀洋,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/cuihuaiyang/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
08242,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/08242/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
郝维昌,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/haoweichang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/A3/EE/241BE53851AFFA9CC55FDEC7EB6_BD9B639E_8E93.jpg
崔益民,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/cuiyimin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/DC/2C/3AA47F9EF40E387EEA59CF338BC_B084D9DD_148FB.jpg
王玫,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/wangmei/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
李文萍,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,女,http://shi.buaa.edu.cn/08457/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/55/C7/2A47E81619DFC8E08FD806061F5_2C43EC50_3F31.jpg
张玉洁,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/zyj/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
08611,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/08611/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
李博,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/leehaoq/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/A7/E7/0484FC332CE023C766969DA4746_71342F7F_7031.jpg
潘晖,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/07994/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
钟晓岚,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,女,http://shi.buaa.edu.cn/zhongxiaolan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/1B/2C/5A37B86980D46D7BF02C6813583_2FD893C8_A356.jpg
日下部元彦,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/kusakabe/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/3C/A2/9306DE300AE31A251D0AD4F7AC3_DACB6C7C_5E23.jpg
刁训刚,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/diaoxungang/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
龚寿书,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/ssgong2018/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
刘利民,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/liulimin/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
沈成平,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/shencp/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/41/3F/8E14684E409621C4E96F310A3BE_E33C4EB9_D593.jpg
陈强,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/chenqiang/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
王涛峰,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/wangtaofeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/4A/43/FE43B40572FA14A6D9A24557D6C_B9C77929_55AB.jpg
时洪亮,北京航空航天大学,物理科学与核能工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/shihongliang/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
